# ユーザー入力（フォーム回答から生成）
# 適性値 ◎=1.0 / ○=0.5 / ×=0.0、作る=1.0 / 中間=0.5 / 運用=0.0
# weeks は継続期間から換算（月≈4週・年≈52週）: 1年→52
# learned: 「バックエンド言語」→「バックエンド向け言語」
# interests: 「モバイルアプリ開発」→「モバイルアプリ」
key,value
クリエイティブ,0.5
ロジカル,1.0
作る↔運用,1.0
数学,1.0
計画性・正確さ,1.0
hours_per_week,28
weeks,52
learned,"HTML/CSS, JavaScript/TS, フロントFW(React等), バックエンド向け言語, SQL/データベース, Python基礎, Linux基礎, Git, 開発環境/ターミナル"
interests,"フロントエンド, バックエンド, モバイルアプリ, インフラ/クラウド"
