# ユーザー入力（フォーム回答から生成）
# 適性値 ◎=1.0 / ○=0.5 / ×=0.0、作る=1.0 / 中間=0.5 / 運用=0.0
# weeks は継続期間から換算（月≈4週・年≈52週）: 半年→26
key,value
クリエイティブ,0.5
ロジカル,1.0
作る↔運用,1.0
数学,0.5
計画性・正確さ,0.5
hours_per_week,3
weeks,26
learned,"画像編集, アルゴリズム, Python基礎, 機械学習, C++, Linux基礎, ネットワーク基礎, Git"
interests,"バックエンド, インフラ/クラウド"
