# ユーザー入力（フォーム回答から生成）
# 適性値 ◎=1.0 / ○=0.5 / ×=0.0、作る=1.0 / 中間=0.5 / 運用=0.0
# weeks は継続期間から換算（月≈4週・年≈52週）: 1ヶ月→4
key,value
クリエイティブ,1.0
ロジカル,0.5
作る↔運用,0.5
数学,0.5
計画性・正確さ,0.5
hours_per_week,6
weeks,4
learned,"Python基礎, 機械学習"
interests,"UI/UXデザイン"
