# ユーザー入力（フォーム回答から生成）
# 適性値 ◎=1.0 / ○=0.5 / ×=0.0、作る=1.0 / 中間=0.5 / 運用=0.0
# weeks は継続期間から換算（月≈4週・年≈52週）: 半年→26
key,value
クリエイティブ,0.5
ロジカル,0.5
作る↔運用,0.5
数学,0.0
計画性・正確さ,1.0
hours_per_week,15
weeks,26
learned,"統計・数学, データ可視化, ネットワーク基礎"
interests,"Webサイト管理, データ/ML"
