# ユーザー入力（フォーム回答から生成）
# 適性値 ◎=1.0 / ○=0.5 / ×=0.0、作る=1.0 / 中間=0.5 / 運用=0.0
# weeks は継続期間から換算（月≈4週・年≈52週）: 10年以上→520
# learned: 「バックエンド言語」→「バックエンド向け言語」、「アプリ設計」は config に無いため除外
key,value
クリエイティブ,1.0
ロジカル,1.0
作る↔運用,0.5
数学,1.0
計画性・正確さ,1.0
hours_per_week,20
weeks,520
learned,"HTML/CSS, JavaScript/TS, フロントFW(React等), WordPress, SEO/サイト運営, ドメイン/サーバー設定, バックエンド向け言語, SQL/データベース, API設計, Firebase/Supabase, アルゴリズム, Python基礎, 統計・数学, 機械学習, データ可視化, Swift/Kotlin, Flutter/RN, アプリストア公開, C#, C++, Unity, ゲーム数学・物理, 3Dグラフィックス, Linux基礎, ネットワーク基礎, クラウド(AWS等), Docker, テスト技法(JSTQB), テスト自動化, Git, 開発環境/ターミナル"
interests,"Webサイト管理, バックエンド, ゲーム開発, データ/ML, インフラ/クラウド"
