# ユーザー入力（フォーム回答から生成）
# 適性値 ◎=1.0 / ○=0.5 / ×=0.0、作る=1.0 / 中間=0.5 / 運用=0.0
# weeks は継続期間から換算（月≈4週・年≈52週）: 3年→156
key,value
クリエイティブ,1.0
ロジカル,0.5
作る↔運用,1.0
数学,1.0
計画性・正確さ,0.5
hours_per_week,3
weeks,156
learned,"HTML/CSS, フロントFW(React等), API設計, アルゴリズム, Python基礎, Git"
interests,"UI/UXデザイン, グラフィックデザイン, Webサイト管理, フロントエンド"
