# ユーザー入力（フォーム回答から生成）
# 適性値 ◎=1.0 / ○=0.5 / ×=0.0、作る=1.0 / 中間=0.5 / 運用=0.0
# weeks は継続期間から換算（月≈4週・年≈52週）: 一ヵ月→4
key,value
クリエイティブ,0.0
ロジカル,1.0
作る↔運用,0.0
数学,0.5
計画性・正確さ,0.0
hours_per_week,4
weeks,4
learned,"HTML/CSS, Python基礎, 統計・数学, Unity"
interests,"バックエンド, QA・テスト"
